Question_1,Question_2,flag
"Sorry, we don’t have that option. But you can create a new node.
","sorry, we weren ’ t offer every option. but you may create one new node.",1
"No, you cannot.",if i delete something from input classification tasks?,0
Can I use scratch input classification files?,Yes. We plna to upsport it in later version,0
Do you mean the final output?,Can I m erge the no des at level 2 and lev el 3 in my context tr ee?,0
"Yes, you can go to Login-> Get Started -> TEST CASE GROUP, then select appropriate test case group, scroll to right till you see the action column. Hover over each action button to see the description, click ‘View Test Cases’. Then you will be redirected to input test cases. Did I solve your problem?
","just what about if i accidentally return back home to the previous stage, when will output information be rapidly saved?",0
I think you created too many nodes in you context tree. You can delete some redundant nodes and just keep the important ones. ,How is the ou tput tree gen erated?,0
I can't rename my node?,We are in the proc0es_s of XrecobnKfiguring the UI this YfeaturEe will be YremoveMd,0
"There is no limit to the number of child nodes.
",there is no limit given to the number set of possible child nodes.,1
"No. Only functional tests can be done
",Do I solve yoDur problem?,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",the tree should have strength only if three different levels. there are is usually no limit base on the number of nodes and child nodes. higher on the nodes more no of test cases will be generated. so would if is possible create trees with key power values.,1
What is the impact if the test tools are used by multiple users for different apps at the same time?,the is the impact if multiple test tools is used by multiple users is developing apps at the same site?,1
"Sure. You can uplaod your own JSON file.
",sure. you can uplaod her first json now.,1
Can I merge two context trees into a single one online?,test testing cases can be generated for any application type c of application,0
Can I input the limitation number?,5Move mouse over the node. Right cliWck on it and option to dRelete the nuode wilBl be $dwisplayed.,0
"Sure.""For creating node:Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.""",Whta functions are supported by the otol?,0
"Hello, how can I edit my nodes for input classification? Sure, you can edit or delete nodes. How many nodes can I add at most in one time?","Hello, how can I edit my nogdes for inpSut classifijcaAtiMohn? ZSure, you can 2edit or dele7te Tnodes. How many nodes can I add at Mmost in one timue?",1
"Then you can 1.Select appropriate test case group 2.Scroll to right till you see the Action column 3.Hover over each action button to see the description 4.Click “View Test Cases” 5.User will be redirected to input test cases
",as they accomplish with deleting nodes from the calssficaition.,0
"Yes, you can. Just drag and rearrange the nodes in your tree.","Yes, you can. Just drg and rearrange the noes in our tre.",1
Can I merge the nodes at level 2 and level 3 in my context tree?,Do you men the fnal output?,0
"Expected output tree will be used to compare actual application output to rate the quality.
",Expected output t ree will be used to c ompare actual appli cation output to r ate the quality.,1
"Yes for sure, could you please clarify 'previous information'?",for help deleteing node : navigation : login key → get data started table → consider data administration operator with graph move mouse over to the node. right click action on it mouse and option to delete over the node will be displayed,0
